,Place Name,Latitude,Longitude
0,"Rocky Mountain National Park, Colorado, USA",40.343182,-105.688103
1,"Katmai National Park and Preserve, King Salmon, AK, USA",58.597813,-154.693756
2,"Glacier Bay National Park and Preserve, Alaska, USA",58.665806,-136.900208
3,"Channel Islands National Park, Ventura, CA, USA",33.998028,-119.772949
4,"Denali National Park and Preserve, Alaska, USA",63.129887,-151.197418
5,"Mount Rainier National Park, Washington, USA",46.879967,-121.726906
6,"Great Smoky Mountains National Park, Tennessee, USA",35.611763,-83.489548
7,"Yosemite National Park, California, USA",37.865101,-119.53833
8,"Shenandoah National Park, Shenandoah, VA, USA",38.700516,-78.292694
9,"Everglades National Park, Florida, USA",25.286615,-80.898651
10,"Yellowstone National Park, USA",44.423691,-110.588516
11,"Olympic National Park, WA, USA",47.802109,-123.604355
12,Grand Teton National Park USA,43.472554,-110.405435
13,"Isle Royale National Park, USA",47.5945114,-88.5433444
14,"Virgin Islands National Park, USA",18.351498594,-64.768496926
15,"Glacier National Park, USA",48.7596128,-113.787022
16,"Theodore Roosevelt National Park, USA",47.2394596,-103.6243599
